CO_MUNICIPIO,NO_MUNICIPIO,RGINT,IDEB_MEDIANA_MUNICIPIO,IDEB_MEDIANA_RGINT,ABAIXO_MEDIANA_RGINT
3100104,Abadia dos Dourados,Uberlândia,4.1,4.6,True
3100203,Abaeté,Divinópolis,4.9,4.7,False
3100302,Abre Campo,Juiz de Fora,4.949999999999999,4.5,False
3100401,Acaiaca,Juiz de Fora,4.6,4.5,False
3100500,Açucena,Ipatinga,4.9,4.7,False
3100609,Água Boa,Teófilo Otoni,4.65,4.2,False
3100708,Água Comprida,Uberaba,4.5,4.5,False
3100807,Aguanil,Varginha,4.8,4.5,False
3100906,Águas Formosas,Teófilo Otoni,3.9000000000000004,4.2,True
3101003,Águas Vermelhas,Teófilo Otoni,4.3,4.2,False
3101102,Aimorés,Governador Valadares,4.7,4.6,False
3101201,Aiuruoca,Pouso Alegre,5.1,4.8,False
3101300,Alagoa,Pouso Alegre,5.3,4.8,False
3101409,Albertina,Pouso Alegre,5.2,4.8,False
3101508,Além Paraíba,Juiz de Fora,3.5,4.5,True
3101607,Alfenas,Varginha,4.5,4.5,False
3101631,Alfredo Vasconcelos,Barbacena,4.3,4.8,True
3101706,Almenara,Teófilo Otoni,4.1,4.2,True
3101805,Alpercata,Governador Valadares,4.3,4.6,True
3101904,Alpinópolis,Varginha,4.2,4.5,True
3102001,Alterosa,Varginha,5.4,4.5,False
3102050,Alto Caparaó,Juiz de Fora,4.8,4.5,False
3102100,Alto Rio Doce,Barbacena,5.0,4.8,False
3102209,Alvarenga,Ipatinga,4.3,4.7,True
3102308,Alvinópolis,Juiz de Fora,4.0,4.5,True
3102407,Alvorada de Minas,Teófilo Otoni,4.199999999999999,4.2,True
3102506,Amparo do Serra,Juiz de Fora,4.4,4.5,True
3102605,Andradas,Pouso Alegre,4.7,4.8,True
3102704,Cachoeira de Pajeú,Teófilo Otoni,4.2,4.2,False
3102803,Andrelândia,Juiz de Fora,4.7,4.5,False
3102852,Angelândia,Teófilo Otoni,4.6,4.2,False
3102902,Antônio Carlos,Barbacena,4.449999999999999,4.8,True
3103009,Antônio Dias,Ipatinga,4.5,4.7,True
3103108,Antônio Prado de Minas,Juiz de Fora,5.5,4.5,False
3103207,Araçaí,Belo Horizonte,4.3,4.4,True
3103306,Aracitaba,Juiz de Fora,3.3,4.5,True
3103405,Araçuaí,Teófilo Otoni,4.3,4.2,False
3103504,Araguari,Uberlândia,4.6,4.6,False
3103603,Arantina,Juiz de Fora,4.3,4.5,True
3103702,Araponga,Juiz de Fora,4.85,4.5,False
3103751,Araporã,Uberlândia,4.6,4.6,False
3103801,Arapuá,Patos de Minas,5.4,4.4,False
3103900,Araújos,Divinópolis,4.9,4.7,False
3104007,Araxá,Uberaba,4.5,4.5,False
3104106,Arceburgo,Varginha,3.1,4.5,True
3104205,Arcos,Divinópolis,4.5,4.7,True
3104304,Areado,Varginha,4.8,4.5,False
3104403,Argirita,Juiz de Fora,4.4,4.5,True
3104452,Aricanduva,Teófilo Otoni,4.7,4.2,False
3104502,Arinos,Patos de Minas,4.1,4.4,True
3104601,Astolfo Dutra,Juiz de Fora,4.35,4.5,True
3104700,Ataléia,Teófilo Otoni,4.1,4.2,True
3104809,Augusto de Lima,Belo Horizonte,4.3,4.4,True
3104908,Baependi,Pouso Alegre,5.15,4.8,False
3105004,Baldim,Belo Horizonte,4.6,4.4,False
3105103,Bambuí,Divinópolis,4.65,4.7,True
